"Codigo de via";"Clase de la via";"Particula de la via";"Nombre de la via";"Tipo de tramo ";"Nombre de la aproximacion";"Numero inicial del tramo";"Calificador del numero inicial del tramo";"Numero final del tramo";"Calificador del numero final del tramo";"Codigo postal";"Seccion de carteria"
"31001266";"CALLE                   ";"DE    ";"EL CASERIO                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001267";"CALLE                   ";"DE    ";"EL SANTO DE LA ISIDRA                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001267";"CALLE                   ";"DE    ";"EL SANTO DE LA ISIDRA                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001268";"PLAZA                   ";"DE    ";"AGUA, AZUCARILLOS Y AGUARDIENTE                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001268";"PLAZA                   ";"DE    ";"AGUA, AZUCARILLOS Y AGUARDIENTE                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001269";"CALLE                   ";"DE    ";"LA CALESERA                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001269";"CALLE                   ";"DE    ";"LA CALESERA                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001270";"CALLE                   ";"DE    ";"LA PICARA MOLINERA                              ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001270";"CALLE                   ";"DE    ";"LA PICARA MOLINERA                              ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001271";"CALLE                   ";"DE    ";"LA TABERNERA DEL PUERTO                         ";"impar";"NUM";"000001";"  ";"009999";"  ";"28041";"N/D"
"31001271";"CALLE                   ";"DE    ";"LA TABERNERA DEL PUERTO                         ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28041";"N/D"
"31001280";"GLORIETA                ";"DE    ";"ISAAC RABIN                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28035";"N/D"
"31001280";"GLORIETA                ";"DE    ";"ISAAC RABIN                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28035";"N/D"
"31001281";"CALLE                   ";"DE    ";"LA ACEBEDA                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001281";"CALLE                   ";"DE    ";"LA ACEBEDA                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001282";"CALLE                   ";"DE    ";"EL BERRUECO                                     ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001282";"CALLE                   ";"DE    ";"EL BERRUECO                                     ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001283";"CALLE                   ";"DE    ";"BERZOSA DE LOZOYA                               ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001283";"CALLE                   ";"DE    ";"BERZOSA DE LOZOYA                               ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001284";"CALLE                   ";"DE    ";"LAS NAVAS DE BUITRAGO                           ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001284";"CALLE                   ";"DE    ";"LAS NAVAS DE BUITRAGO                           ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001285";"CALLE                   ";"DE    ";"PIÑUECAR                                        ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001285";"CALLE                   ";"DE    ";"PIÑUECAR                                        ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001286";"CALLE                   ";"DE    ";"SAN MAMES                                       ";"impar";"NUM";"000001";"  ";"009999";"  ";"28021";"N/D"
"31001286";"CALLE                   ";"DE    ";"SAN MAMES                                       ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28021";"N/D"
"31001292";"GLORIETA                ";"DE    ";"OLGA RAMOS                                      ";"impar";"NUM";"000001";"  ";"009999";"  ";"28049";"N/D"
"31001292";"GLORIETA                ";"DE    ";"OLGA RAMOS                                      ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28049";"N/D"
"31001293";"GLORIETA                ";"DE    ";"GRACITA MORALES                                 ";"impar";"NUM";"000001";"  ";"009999";"  ";"28049";"N/D"
"31001293";"GLORIETA                ";"DE    ";"GRACITA MORALES                                 ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28049";"N/D"
"31001294";"GLORIETA                ";"DE    ";"IRENE GUTIERREZ CABA                            ";"impar";"NUM";"000001";"  ";"009999";"  ";"28049";"N/D"
"31001294";"GLORIETA                ";"DE    ";"IRENE GUTIERREZ CABA                            ";"par  ";"NUM";"000002";"  ";"009998";"  ";"28049";"N/D"
